delta,s_z,C_bar,coverage_deficit,S_delta
2.073718891063807,3.4529684499999997,0.5058075989652693,0.4941924010347307,0.21943800323524415
2.073959085517504,3.4533684,0.5057548952492228,0.4942451047507772,0.2194040705661969
2.074199279971201,3.45376835,0.5057021996833655,0.4942978003166345,0.21937013997930258
2.074439474424898,3.4541682999999996,0.5056495122671965,0.49435048773280355,0.21933621147759752
2.0746796688785953,3.45456825,0.5055968330002145,0.4944031669997855,0.219302285064116
2.0749198633322923,3.4549681999999997,0.505544161881918,0.494455838118082,0.2192683607418902
2.0751600577859897,3.45536815,0.5054914989118039,0.4945085010881961,0.2192344385139499
2.0754002522396866,3.4557681,0.5054388440893691,0.4945611559106309,0.21920051838332286
2.0756404466933835,3.4561680499999996,0.5053861974141094,0.4946138025858906,0.2191666003530345
2.0758806411470805,3.456568,0.5053335588855199,0.4946664411144801,0.21913268442610828
2.0761208356007774,3.4569679499999997,0.5052809285030951,0.49471907149690486,0.21909877060556518
2.076361030054475,3.4573679,0.5052283062663283,0.4947716937336717,0.21906485889442406
2.0766012245081718,3.4577678499999998,0.505175692174713,0.49482430782528697,0.21903094929570185
2.076841418961869,3.4581678,0.5051230862277413,0.49487691377225873,0.218997041812413
2.077081613415566,3.45856775,0.5050704884249048,0.49492951157509524,0.21896313644756996
2.077321807869263,3.4589676999999996,0.5050178987656939,0.4949821012343061,0.21892923320418278
2.0775620023229604,3.45936765,0.5049653172495989,0.4950346827504011,0.21889533208525946
2.0778021967766573,3.4597675999999997,0.5049127438761094,0.4950872561238906,0.21886143309380598
2.0780423912303543,3.46016755,0.5048601786447138,0.4951398213552862,0.2188275362328258
2.078282585684051,3.4605675,0.5048076215548999,0.4951923784451001,0.2187936415053204
2.078522780137748,3.4609674499999996,0.5047550726061553,0.49524492739384474,0.2187597489142891
2.0787629745914455,3.4613674,0.5047025317979659,0.49529746820203413,0.21872585846272877
2.0790031690451425,3.4617673499999997,0.5046499991298179,0.4953500008701821,0.2186919701536345
2.07924336349884,3.4621673,0.5045974746011961,0.4954025253988039,0.2186580839899989
2.079483557952537,3.4625672499999998,0.504544958211585,0.49545504178841504,0.2186241999748125
2.0797237524062337,3.4629672,0.5044924499604682,0.49550755003953184,0.21859031811106364
2.0799639468599307,3.46336715,0.5044399498473283,0.4955600501526717,0.21855643840173855
2.0802041413136276,3.4637670999999997,0.5043874578716477,0.49561254212835226,0.21852256084982102
2.080444335767325,3.46416705,0.5043349740329076,0.4956650259670924,0.21848868545829295
2.080684530221022,3.4645669999999997,0.504282498330589,0.495717501669411,0.21845481223013405
2.0809247246747193,3.46496695,0.5042300307641719,0.49576996923582806,0.21842094116832164
2.0811649191284163,3.4653669,0.5041775713331355,0.49582242866686455,0.218387072275831
2.081405113582113,3.4657668499999996,0.5041251200369585,0.49587487996304147,0.2183532055556353
2.0816453080358106,3.4661668,0.5040726768751185,0.4959273231248815,0.2183193410107053
2.0818855024895075,3.4665667499999997,0.5040202418470928,0.4959797581529072,0.2182854786440098
2.0821256969432045,3.4669667,0.503967814952358,0.496032185047642,0.21825161845851543
2.0823658913969014,3.4673666499999998,0.5039153961903897,0.4960846038096103,0.21821776045718638
2.082606085850599,3.4677666,0.5038629855606628,0.4961370144393372,0.21818390464298512
2.0828462803042957,3.46816655,0.5038105830626519,0.4961894169373481,0.21815005101887142
2.0830864747579927,3.4685664999999997,0.5037581886958304,0.49624181130416956,0.21811619958780326
2.08332666921169,3.46896645,0.5037058024596711,0.4962941975403289,0.2180823503527362
2.083566863665387,3.4693663999999997,0.5036534243536464,0.49634657564635365,0.21804850331662395
2.083807058119084,3.46976635,0.5036010543772277,0.4963989456227723,0.21801465848241772
2.084047252572781,3.4701663,0.5035486925298858,0.49645130747011423,0.21798081585306678
2.084287447026478,3.4705662499999996,0.5034963388110905,0.49650366118890954,0.21794697543151798
2.084527641480175,3.4709662,0.5034439932203113,0.4965560067796887,0.21791313722071612
2.084767835933872,3.4713661499999997,0.5033916557570168,0.49660834424298317,0.217879301223604
2.0850080303875695,3.4717661,0.5033393264206751,0.49666067357932486,0.217845467443122
2.0852482248412665,3.47216605,0.5032870052107533,0.4967129947892467,0.2178116358822085
2.0854884192949634,3.4725659999999996,0.503234692126718,0.496765307873282,0.21777780654379963
2.0857286137486604,3.47296595,0.503182387168035,0.496817612831965,0.21774397943082938
2.0859688082023573,3.4733658999999997,0.5031300903341692,0.4968699096658308,0.21771015454622952
2.0862090026560547,3.47376585,0.5030778016245853,0.49692219837541474,0.21767633189292965
2.0864491971097516,3.4741657999999997,0.5030255210387466,0.49697447896125335,0.2176425114738574
2.086689391563449,3.47456575,0.5029732485761166,0.4970267514238834,0.21760869329193797
2.086929586017146,3.4749657,0.5029209842361574,0.4970790157638426,0.21757487735009454
2.087169780470843,3.4753656499999996,0.5028687280183305,0.4971312719816695,0.21754106365124815
2.0874099749245403,3.4757656,0.5028164799220967,0.49718352007790334,0.21750725219831743
2.087650169378237,3.4761655499999997,0.5027642399469164,0.49723576005308356,0.21747344299421933
2.087890363831934,3.4765655,0.5027120080922491,0.49728799190775086,0.21743963604186814
2.088130558285631,3.47696545,0.5026597843575537,0.49734021564244635,0.21740583134417624
2.088370752739328,3.4773653999999996,0.502607568742288,0.49739243125771204,0.21737202890405385
2.0886109471930254,3.47776535,0.5025553612459094,0.4974446387540906,0.21733822872440886
2.0888511416467224,3.4781652999999997,0.5025031618678748,0.4974968381321252,0.21730443080814724
2.0890913361004197,3.47856525,0.5024509706076401,0.4975490293923599,0.21727063515817258
2.0893315305541167,3.4789651999999998,0.5023987874646607,0.4976012125353393,0.2172368417773866
2.0895717250078136,3.47936515,0.5023466124383911,0.49765338756160893,0.2172030506686885
2.0898119194615106,3.4797651,0.5022944455282852,0.49770555447171483,0.21716926183497554
2.0900521139152075,3.4801650499999996,0.5022422867337962,0.49775771326620377,0.21713547527914281
2.090292308368905,3.480565,0.5021901360543767,0.4978098639456233,0.21710169100408314
2.090532502822602,3.4809649499999997,0.5021379934894785,0.4978620065105215,0.21706790901268733
2.090772697276299,3.4813649,0.5020858590385526,0.49791414096144737,0.21703412930784396
2.091012891729996,3.48176485,0.5020337327010497,0.4979662672989503,0.2170003518924395
2.091253086183693,3.4821647999999996,0.5019816144764194,0.4980183855235806,0.21696657676935815
