delta,model,regime,E,M
2.6999999999999993,FD,LF,0.6859971498939295,0.14132433528119892
2.700999999999999,FD,LF,0.6858558384778684,0.1412984940435692
2.7019999999999995,FD,LF,0.6857145529114312,0.14127263603901474
2.7029999999999994,FD,LF,0.6855732932113677,0.1412467613023301
2.7039999999999993,FD,LF,0.6854320593943924,0.1412208698682736
2.704999999999999,FD,LF,0.6852908514771855,0.14119496177156715
2.7059999999999995,FD,LF,0.6851496694763919,0.1411690370468967
2.7069999999999994,FD,LF,0.6850085134086227,0.14114309572891173
2.7079999999999993,FD,LF,0.6848673832904537,0.14111713785222568
2.708999999999999,FD,LF,0.6847262791384263,0.1410911634514157
2.7099999999999995,FD,LF,0.6845852009690473,0.1410651725610229
2.7109999999999994,FD,LF,0.6844441487987892,0.14103916521555215
2.7119999999999993,FD,LF,0.6843031226440898,0.14101314144947225
2.712999999999999,FD,LF,0.6841621225213523,0.1409871012972158
2.7139999999999995,FD,LF,0.684021148446946,0.14096104479317934
2.7149999999999994,FD,LF,0.6838802004372051,0.1409349719717235
2.7159999999999993,FD,LF,0.6837392785084302,0.14090888286717254
2.716999999999999,FD,LF,0.6835983826768871,0.1408827775138149
2.7179999999999995,FD,LF,0.6834575129588074,0.1408566559459029
2.7189999999999994,FD,LF,0.6833166693703887,0.14083051819765297
2.7199999999999993,FD,LF,0.6831758519277942,0.1408043643032453
2.720999999999999,FD,LF,0.6830350606471529,0.1407781942968244
2.7219999999999995,FD,LF,0.6828942955445598,0.14075200821249856
2.7229999999999994,FD,LF,0.682753556636076,0.14072580608434038
2.7239999999999993,FD,LF,0.6826128439377277,0.14069958794638632
2.724999999999999,FD,LF,0.6824721574655083,0.14067335383263702
2.7259999999999995,FD,LF,0.6823314972353763,0.14064710377705725
2.7269999999999994,FD,LF,0.6821908632632568,0.14062083781357584
2.7279999999999993,FD,LF,0.6820502555650406,0.14059455597608594
2.728999999999999,FD,LF,0.6819096741565847,0.1405682582984446
2.7299999999999995,FD,LF,0.6817691190537125,0.14054194481447324
2.7309999999999994,FD,LF,0.6816285902722132,0.1405156155579575
2.7319999999999993,FD,LF,0.6814880878278429,0.140489270562647
2.732999999999999,FD,LF,0.6813476117363231,0.14046290986225593
2.7339999999999995,FD,LF,0.6812071620133421,0.1404365334904624
2.7349999999999994,FD,LF,0.6810667386745547,0.14041014148090908
2.7359999999999993,FD,LF,0.6809263417355818,0.1403837338672027
2.736999999999999,FD,LF,0.6807859712120106,0.14035731068291446
2.7379999999999995,FD,LF,0.6806456271193948,0.14033087196157973
2.7389999999999994,FD,LF,0.6805053094732552,0.14030441773669838
2.7399999999999993,FD,LF,0.6803650182890781,0.14027794804173455
2.740999999999999,FD,LF,0.6802247535823173,0.14025146291011673
2.7419999999999995,FD,LF,0.6800845153683923,0.14022496237523782
2.7429999999999994,FD,LF,0.67994430366269,0.1401984464704552
2.7439999999999993,FD,LF,0.6798041184805637,0.14017191522909064
2.744999999999999,FD,LF,0.679663959837333,0.14014536868443034
2.7459999999999996,FD,LF,0.6795238277482848,0.1401188068697249
2.7469999999999994,FD,LF,0.6793837222286725,0.14009222981818958
2.7479999999999993,FD,LF,0.6792436432937163,0.140065637563004
2.748999999999999,FD,LF,0.6791035909586033,0.1400390301373123
2.7499999999999996,FD,LF,0.6789635652384874,0.14001240757422329
2.7509999999999994,FD,LF,0.6788235661484896,0.1399857699068102
2.7519999999999993,FD,LF,0.6786835937036976,0.13995911716811088
2.7529999999999992,FD,LF,0.6785436479191663,0.13993244939112776
2.7539999999999996,FD,LF,0.6784037288099172,0.13990576660882792
2.7549999999999994,FD,LF,0.6782638363909393,0.13987906885414303
2.7559999999999993,FD,LF,0.6781239706771887,0.13985235615996944
2.7569999999999992,FD,LF,0.6779841316835883,0.1398256285591682
